a	b	c	d
-2.137	3.0	0.45	10.142
-3.017	1.971	-1.822	8.615
-2.032	1.892	-0.647	8.402
-2.453	1.686	-2.711	8.238
-1.613	0.0	-1.059	7.978
-2.231	2.098	-2.901	10.087
-1.046	2.814	-2.527	9.487
-0.88	2.451	0.076	9.432
-5.552	0.0	2.065	6.016
-6.89	0.0	0.659	7.96
-2.514	0.0	-1.103	7.826
-2.948	2.961	-1.543	10.209
-2.363	2.961	0.015	10.001
-1.309	2.706	-1.644	9.986
-1.725	3.647	-0.497	9.853
-3.264	3.0	1.833	9.526
-2.522	2.51	-1.225	9.576
-1.346	3.167	-2.1	9.236
-3.323	2.794	1.194	8.843
-1.133	1.686	-3.373	7.7
-2.664	3.549	-0.91	10.649
-2.979	0.0	-2.443	7.844
-2.097	3.147	-2.127	10.659
-1.267	3.775	0.433	11.685
-2.862	3.549	-1.017	10.481
-2.568	2.304	-1.846	10.079
-3.132	2.765	-0.509	9.597
-2.827	2.255	-1.087	8.988
-3.583	2.52	-1.053	10.439
-2.34	2.382	-0.946	8.407
-2.749	2.167	-0.455	9.141
-1.302	3.225	-1.306	9.348
-3.302	3.353	-1.819	10.28
-1.211	3.225	-2.937	9.713
-1.373	3.069	-2.186	9.899
-2.083	3.245	-2.561	10.994
-2.495	2.882	0.736	9.65
-2.829	2.696	-0.879	10.62
-1.323	3.157	-2.223	9.442
-1.517	3.353	-0.603	9.805
-3.24	2.696	-0.614	8.87
-3.0	0.0	0.439	6.799
-6.841	0.0	0.355	7.36
-2.896	0.0	-1.113	6.847
-2.344	2.824	-3.491	10.236
-3.904	2.598	-0.253	8.669
-2.728	3.48	-2.172	11.352
-0.843	2.324	-2.377	9.898
-2.498	1.863	-0.242	9.525
-2.088	0.0	-0.047	6.699
-2.577	2.529	0.869	9.374
-4.229	0.0	1.006	7.681
-2.701	3.373	-0.063	10.548
-1.149	1.951	-1.129	8.934
-3.276	0.0	-0.345	6.706
-1.704	1.647	-2.303	7.229
-2.204	2.686	-0.499	9.448
-3.455	3.029	1.74	10.232
-0.696	2.735	-2.385	9.774
-0.63	2.235	-0.259	9.879
-3.657	2.451	-0.927	10.371
-1.234	2.882	-0.433	9.928
-4.501	2.98	-1.558	9.429
-3.387	2.637	0.22	9.404
-4.698	1.863	-1.891	8.565
-5.701	2.922	2.085	10.261
-2.725	0.0	-2.976	6.805
-6.611	0.0	1.003	7.946
-5.07	0.0	-0.814	7.583
-4.4	0.0	-1.561	6.267
-2.195	0.0	-0.036	6.683
-4.574	0.0	-0.443	6.577
-4.29	0.0	-0.145	6.492
-4.66	0.0	-0.757	6.765
-5.427	3.686	-1.891	11.555
-2.183	0.0	-2.388	7.762
-2.225	0.0	-1.441	6.497
-0.905	3.951	-3.478	11.241
-2.081	3.108	-0.583	10.828
-2.785	2.02	-2.396	9.027
-0.75	0.0	-3.025	7.627
-5.205	0.0	2.384	7.135
-2.776	3.873	1.037	11.422
-2.03	2.794	-2.204	10.779
-1.146	2.206	-0.515	9.409
-1.893	3.873	-0.876	11.496
-2.108	3.569	0.278	11.22
-4.908	2.706	1.003	9.871
-4.199	0.0	0.999	6.231
-3.228	2.99	-0.475	9.116
-4.813	2.716	2.583	9.125
-3.472	0.0	-0.792	6.213
-4.039	2.098	-2.172	9.717
-6.31	2.912	0.755	10.359
-2.855	3.265	0.718	10.848
-1.405	2.598	-0.583	9.462
-0.643	1.765	-1.025	8.482
-0.39	2.873	-0.706	10.045
-3.263	2.196	-0.686	8.419
-2.632	3.284	-1.847	10.871
